"id","name","slug","category_id","price","stock","description","images","badges","sku","is_active","created_at","updated_at"
"33","Pink Carnation Bouquet","Carnation-bouquet-w8uj0","4","999.00","100","10 pcs pink carnation 
Aster Fillers
Round Bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1771665774/6246564345152211728_bfpt04.jpg""]","[""On Sale""]","SKU-C7VI3Z4","true","2026-02-25 10:55:40.939728","2026-02-25 10:55:40.939728"
"34","Pink Carnation Bouquet","Carnation-bouquet-p6wld","4","999.00","100","10 pcs Pink Carnation 
Aster Fillers
Round Bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1771665769/6109156349804481803_yp32wm.jpg""]","[""On Sale""]","SKU-2RPGQ0F","true","2026-02-25 10:56:44.739188","2026-02-25 10:56:44.739188"
"35","Pink Carnation Bouquet","Carnation-bouquet-78q22","4","999.00","100","10 pcs pink Carnation
Aster Fillers
Round Bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1771665769/6246564345152211725_dt5emf.jpg""]","[""On Sale"",""Most Favorite""]","SKU-V2IPJ5J","true","2026-02-25 10:59:03.11202","2026-02-25 10:59:03.11202"
"36","Red Carnation Bouquet","Carnation-bouquet-tl68t","4","999.00","100","10 pcs red carnation
aster fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1771665771/6109156349804481801_1_gvqgxt.jpg""]","[""On Sale""]","SKU-W0LYL77","true","2026-02-25 11:01:15.934055","2026-02-25 11:01:15.934055"
"37","Red Carnation Bouquet","Carnation-bouquet-4xwnf","4","999.00","100","10pcs red carnation
aster fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1771665768/6109156349804481802_tldi9k.jpg""]","[""On Sale"",""Most Favorite""]","SKU-41SPSEP","true","2026-02-25 11:02:48.858594","2026-02-25 11:02:48.858594"
"38","Pink Carnation Bouquet","Carnation-bouquet-9jkdd","4","999.00","100","10 pink carnation
aster fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1771665763/6109156349804481804_xvmwie.jpg""]","[""On Sale"",""Most Favorite""]","SKU-43LNY23","true","2026-02-25 11:04:31.447329","2026-02-25 11:04:31.447329"
"39","1 dozen rose pink","Local Roses-bouquet-iihc2","1","899.00","100","1 dozen Pink roses 
aster fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772018351/6122850414941114248_ad4d27.jpg""]","[""On Sale"",""Most Favorite""]","SKU-4VJATZO","true","2026-02-25 11:21:16.51911","2026-02-25 11:21:16.51911"
"40","1 dozen Rose","Local Roses-bouquet-vxlgu","1","899.00","100","1 dozen pink and white
Msty Blue Fillers
Round Bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772018351/6122850414941114251_q2lxxz.jpg""]","[]","SKU-XBQ6FSU","true","2026-02-25 11:22:58.529821","2026-02-25 11:22:58.529821"
"41","1 dozen Rose","Local Roses-bouquet-uww1e","1","899.00","100","6 pcs red 6 pcs white rose
Misty Blue
round bouquet ","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772018357/6122850414941114229_fugyzs.jpg""]","[""On Sale"",""Most Favorite""]","SKU-K44XM7E","true","2026-02-25 11:25:16.329996","2026-02-25 11:25:16.329996"
"42","1 dozen Rose","Local Roses-bouquet-gxene","1","899.00","99","1 dozen red roses
aster fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772018356/6122850414941114230_sg83uu.jpg""]","[""On Sale"",""Most Favorite""]","SKU-3RCHSYR","true","2026-02-25 11:26:20.040835","2026-02-25 11:26:20.040835"
"43","1 dozen Rose","Local Roses-bouquet-l1ccz","1","899.00","100","6 pink and 6 red roses 
aster fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772018353/6258052029750560838_klmiog.jpg""]","[]","SKU-BLK3RXL","true","2026-02-25 11:27:34.137163","2026-02-25 11:27:34.137163"
"44","1 dozen Rose","Local Roses-bouquet-0y0ws","1","899.00","100","1 dozen purple roses
misty blue fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772018355/6122850414941114235_kpdhnr.jpg""]","[]","SKU-1Y81EZQ","true","2026-02-25 11:28:52.48388","2026-02-25 11:28:52.48388"
"45","1 dozen Rose","Local Roses-bouquet-pbgme","1","899.00","100","6 pink rose 6 white rose
Misty Blue fillers
Round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772019259/6122850414941114247_ffszz3.jpg""]","[""On Sale""]","SKU-M1ZC6XW","true","2026-02-25 11:35:20.691308","2026-02-25 11:35:20.691308"
"46","1 dozen Rose","Local Roses-bouquet-vf09w","1","899.00","99","1 dozen white roses
misty blue fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772019245/6122850414941114225_al50bu.jpg""]","[""On Sale"",""Most Favorite""]","SKU-4JGU4EK","true","2026-02-25 11:36:13.764562","2026-02-25 11:36:13.764562"
"47","2dz rose","Local Roses-bouquet-a5js6","1","1200.00","100","12 pcs pink rose
12 pcs white rose
misty blue fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772019514/6122850414941114244_yg5fgo.jpg""]","[]","SKU-QHWN2NV","true","2026-02-25 11:40:01.20196","2026-02-25 11:40:01.20196"
"48","2 dozen rose","Local Roses-bouquet-yqu0v","1","1200.00","100","24 pcs pink roses
aster fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772019513/6122850414941114246_alpagl.jpg""]","[]","SKU-VPSPMMI","true","2026-02-25 11:41:19.438685","2026-02-25 11:41:19.438685"
"49","2 dozen rose","Local Roses-bouquet-7diu9","1","1200.00","100","2 dozen red local roses
aster fillers 
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772019513/6122850414941114249_dic2li.jpg""]","[""Most Favorite""]","SKU-LRFDLMS","true","2026-02-25 11:42:37.112867","2026-02-25 11:42:37.112867"
"50","2dozen rose","Local Roses-bouquet-ztn94","1","1200.00","100","12 pcs pink rose
12 pcs white rose
aster fillers
round bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772019512/6122850414941114252_qjiea5.jpg""]","[]","SKU-TZYE40R","true","2026-02-25 11:44:16.761815","2026-02-25 11:44:16.761815"
"51","2 dozen Purple Tulips","tulips-bouquet-0tnc3","2","5000.00","99","24 pcs tulips purple
Misty Blue fillers
Arm bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772020657/6122850414941114271_itlcqj.jpg""]","[]","SKU-X33I08I","true","2026-02-25 12:03:55.58815","2026-02-25 12:03:55.58815"
"52","8 pcs TULIPS BOUQUET","tulips-bouquet-3cz2y","2","2800.00","100","4 pink tulips
4 white tulips
gypso fillers
arm bouquet","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772020609/6122850414941114272_dvbzud.jpg""]","[]","SKU-QMZOLHD","true","2026-02-25 12:05:41.520272","2026-02-25 12:05:41.520272"
"53","2 dozen Pink Tulips","tulips-bouquet-therb","2","5000.00","100","24 pcs pink tulips pink
gypso fillers
arm bouquet ","[""https://res.cloudinary.com/dzk840qjn/image/upload/v1772020607/6122850414941114275_wkwooq.jpg""]","[]","SKU-MXZLNT0","true","2026-02-25 12:07:15.435859","2026-02-25 12:07:15.435859"
